weekday
all_key,all_first,all_msgs,all_batches,all_words,all_attachments,all_delay,all_quick_10min,all_subhour,all_3hours+
2019-11-14,S,08:04pm,1,1,30,1,510,0,0,100
2019-11-15,S,03:33am,5,5,171,1,163,20,20,40
2019-11-16,S,01:28pm,12,2,254,0,29,85,85,14
2019-11-17,S,08:40am,4,3,260,1,461,0,0,100
2019-11-18,S,03:09am,11,3,140,5,112,60,60,40
2019-11-19,S,05:03am,10,4,212,4,195,25,50,50
2019-11-20,S,05:09am,8,5,180,3,172,0,60,40
2019-11-21,S,04:11am,14,7,208,2,61,54,90,9
2019-11-22,S,04:08am,12,8,202,1,52,70,90,10
2019-11-24,S,05:48am,1,1,9,0,620,0,0,100
2019-11-25,S,07:41pm,3,1,0,3,830,0,0,100
2019-11-27,S,04:39am,16,8,474,3,179,50,75,25
2019-11-28,S,10:20am,6,3,186,3,187,0,33,33
2019-11-29,S,08:34pm,6,1,105,3,392,50,50,50
2019-11-30,S,07:20am,5,3,174,4,299,0,50,50
2019-12-01,S,04:23pm,7,2,143,6,223,0,0,50
2019-12-02,S,03:49pm,2,1,171,1,881,0,0,100
2019-12-03,S,09:04am,9,3,124,5,407,50,50,50
2019-12-04,S,11:42am,4,3,151,1,400,33,33,66
2019-12-06,S,11:42am,4,2,133,2,609,0,0,100
2019-12-07,S,08:43pm,3,1,37,2,,,,
2019-12-08,S,07:10pm,4,2,30,3,,,,
2019-12-09,S,11:05am,4,4,72,2,190,33,66,33
2019-12-10,S,09:30am,8,4,268,1,46,40,80,20
2019-12-11,S,08:11am,10,4,141,2,172,0,50,25
2019-12-12,S,09:31am,10,4,299,1,174,50,50,16
2019-12-13,S,03:40am,6,5,296,1,215,0,33,66
2019-12-14,S,09:58am,8,3,107,6,0,100,100,0
2019-12-15,S,02:06pm,11,5,136,5,80,20,60,20
2019-12-16,S,07:19am,5,4,302,1,203,0,33,33
2019-12-17,S,05:49am,5,3,131,1,283,33,33,66
2019-12-18,S,03:20pm,11,4,131,6,210,25,75,25
2019-12-19,S,08:22am,5,4,43,1,278,0,25,50
2019-12-20,S,01:18pm,2,2,80,1,184,0,50,50
2019-12-21,S,02:14pm,8,4,89,4,415,0,66,33
2019-12-22,S,05:07am,20,9,456,3,26,56,75,0
2019-12-23,S,03:54pm,9,3,52,6,5,83,100,0
2019-12-24,S,04:10pm,3,2,40,0,676,50,50,50
2019-12-27,S,10:19am,14,2,22,13,8,100,100,0
2019-12-28,S,05:12am,12,6,232,0,84,14,57,14
2019-12-29,S,07:51am,19,6,392,5,93,66,77,11
2019-12-30,S,03:22pm,5,3,218,1,125,0,33,33
2019-12-31,S,04:39pm,19,3,321,6,37,75,75,0
2020-01-01,S,09:11am,12,5,243,6,56,33,33,0
2020-01-02,S,12:40pm,8,5,304,1,203,40,80,20
2020-01-03,S,04:26pm,4,2,125,0,11,33,100,0
2020-01-04,S,11:05am,2,2,103,0,60,0,50,0
2020-01-05,S,11:39am,12,5,85,7,77,33,66,33
2020-01-06,S,12:18pm,3,2,67,2,436,0,50,50
2020-01-07,S,09:18am,3,3,101,1,440,0,0,100
2020-01-08,S,07:16am,7,5,184,2,137,25,50,25
2020-01-09,S,08:57am,6,4,270,0,204,0,25,50
2020-01-10,S,11:45am,5,4,152,1,465,0,33,66
2020-01-11,S,02:48pm,6,4,110,2,70,0,33,0
2020-01-12,S,05:16am,3,3,141,0,208,0,33,33
2020-01-13,S,06:27pm,8,2,250,1,39,80,80,20
2020-01-14,S,12:21pm,3,2,107,0,112,0,0,0
2020-01-15,S,07:23pm,4,2,107,1,13,50,100,0
2020-01-16,S,02:49pm,5,5,150,0,11,33,100,0
2020-01-17,S,06:44pm,2,2,20,0,667,0,50,50
2020-01-18,S,07:42am,10,6,113,2,6,80,100,0
2020-01-21,S,05:14am,10,3,72,4,87,33,33,0
2020-01-22,S,03:51am,2,2,106,2,,,,
2020-01-23,S,01:49pm,9,4,183,2,45,60,80,0
2020-01-24,S,02:11pm,2,1,174,0,27,0,100,0
2020-01-25,S,01:01pm,3,2,25,2,1347,0,0,100
2020-01-26,S,06:00am,17,5,431,2,44,83,83,16
2020-01-27,S,04:24am,7,6,365,1,56,25,50,0
2020-01-28,S,07:00am,10,3,146,2,135,40,60,40
2020-01-29,S,07:39am,6,3,149,0,474,0,0,100
2020-01-30,S,10:03am,6,5,426,0,152,0,60,20
2020-01-31,S,11:30am,4,4,165,1,28,50,100,0
2020-02-01,S,04:25am,2,1,50,1,293,0,0,100
2020-02-02,S,06:25am,21,5,487,3,62,70,80,20
2020-02-03,S,04:51pm,8,3,126,2,269,0,50,25
2020-02-04,S,01:29pm,6,2,108,1,217,25,75,25
2020-02-05,S,04:02am,4,3,87,3,260,0,0,50
L 1 24
L 2 26
L 3 29
L 4 29
L 5 8
L 6 10
L 7 3
L 8 4
L 9 2
L 10 0
L 11 1
L 12 1
S 1 26
S 2 32
S 3 34
S 4 25
S 5 17
S 6 6
S 7 1
S 8 2
S 9 2
